tahun_anggaran,kd_klpd,nama_klpd,kd_satker,kd_satker_str,nama_satker,belanja_operasi,belanja_modal,belanja_btt,belanja_non_pengadaan,belanja_pengadaan,total_belanja
2025,"D107","Kab. Bandung",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",294671552517,127880109405,0,0,422551661922,422551661922
2025,"D107","Kab. Bandung",60414,"1.02.0.00.0.00.02.0000","DINAS KESEHATAN",312797019110,0,0,79251784400,312797019110,392048803510
2025,"D107","Kab. Bandung",314425,"1.02.0.00.0.00.02.0022","PUSKESMAS CIPEDES",2246222957,0,0,207067800,2246222957,2453290757
2025,"D107","Kab. Bandung",60457,"1.02.0.00.0.00.02.0065","RUMAH SAKIT UMUM DAERAH OTO ISKANDAR DI NATA",89235490000,25483211951,0,0,114718701951,114718701951
2025,"D107","Kab. Bandung",60458,"1.02.0.00.0.00.02.0066","RUMAH SAKIT UMUM DAERAH CICALENGKA",49061667532,5000000000,0,43120133370,54061667532,97181800902
2025,"D107","Kab. Bandung",60456,"1.02.0.00.0.00.02.0067","RUMAH SAKIT UMUM DAERAH KELAS B MAJALAYA",125740204000,0,0,15764296000,125740204000,141504500000
2025,"D107","Kab. Bandung",152342,"1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",191710694390,399529091439,0,0,591239785829,591239785829
2025,"D107","Kab. Bandung",152352,"1.04.2.10.1.03.04.0000","DINAS PERUMAHAN DAN KAWASAN PERMUKIMAN DAN PERTANAHAN",26355648681,0,0,179434581929,26355648681,205790230610
2025,"D107","Kab. Bandung",60428,"1.05.0.00.0.00.05.0000","SATUAN POLISI PAMONG PRAJA",65596803936,0,0,449546600,65596803936,66046350536
2025,"D107","Kab. Bandung",60429,"1.05.0.00.0.00.06.0000","BADAN PENANGGULANGAN BENCANA DAERAH",7464932929,0,0,765026975,7464932929,8229959904
2025,"D107","Kab. Bandung",314481,"1.05.0.00.0.00.07.0000","DINAS PEMADAMAN KEBAKARAN DAN PENYELAMATAN",8854573822,0,0,2388702048,8854573822,11243275870
2025,"D107","Kab. Bandung",60422,"1.06.0.00.0.00.08.0000","DINAS SOSIAL",16451083284,0,0,17420104300,16451083284,33871187584
2025,"D107","Kab. Bandung",152339,"2.07.3.32.0.00.09.0000","DINAS KETENAGAKERJAAN",38286108170,575699400,0,0,38861807570,38861807570
2025,"D107","Kab. Bandung",314482,"2.09.3.25.0.00.10.0000","DINAS KETAHANAN PANGAN DAN PERIKANAN",24077876147,0,0,5440885148,24077876147,29518761295
2025,"D107","Kab. Bandung",96025,"2.11.0.00.0.00.11.0000","DINAS LINGKUNGAN HIDUP",64415679687,0,0,18436897600,64415679687,82852577287
2025,"D107","Kab. Bandung",60420,"2.12.0.00.0.00.12.0000","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL",17248090411,0,0,12333629850,17248090411,29581720261
