tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_kegiatan,kd_kegiatan_str,nama_kegiatan,pagu_kegiatan,kd_kegiatan_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526449,12963348,"2.07.02.2.01","Penyusunan Rencana Tenaga Kerja (RTK)",103448800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963352,"2.07.03.2.01","Pelaksanaan Pelatihan berdasarkan Unit Kompetensi",27591347234,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963365,"2.07.03.2.02","Pembinaan Lembaga Pelatihan Kerja Swasta",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963369,"2.07.03.2.05","Pengukuran Produktivitas Tingkat Daerah Kabupaten/Kota",57590600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526466,12963379,"2.07.04.2.01","Pelayanan antar Kerja di Daerah",5737452700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526466,12963380,"2.07.04.2.03","Pengelolaan Informasi Pasar Kerja",904436600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526466,12963381,"2.07.04.2.04","Pelindungan PMI (Pra dan Purna Penempatan)",7969700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526473,12963397,"2.07.05.2.01","Pengesahan Peraturan Perusahaan dan Pendaftaran Perjanjian Kerja Bersama untuk Perusahaan yang Hanya Beroperasi dalam 1 (Satu) Daerah Kabupaten/Kota",69432800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526473,12963398,"2.07.05.2.02","Pencegahan dan Penyelesaian Perselisihan Hubungan Industrial, Mogok Kerja dan Penutupan Perusahaan di Daerah Kabupaten/Kota",1063319890,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,12963400,"2.07.01.2.01","Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",40000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,12963404,"2.07.01.2.02","Administrasi Keuangan Perangkat Daerah",15000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,12963405,"2.07.01.2.05","Administrasi Kepegawaian Perangkat Daerah",99841300,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,12963407,"2.07.01.2.06","Administrasi Umum Perangkat Daerah",377987870,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,12963411,"2.07.01.2.08","Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah",2288382076,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,12963412,"2.07.01.2.09","Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah",505598000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526477,12963414,"3.32.03.2.01","Penataan Persebaran Penduduk yang Berasal dari 1 (Satu) Daerah Kabupaten/Kota",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314502,2528873,12967470,"5.01.01.2.01","Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",196431500,0,false,"2025-10-10"
