tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_program_str,nama_program,pagu_program,kd_program_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526449,"2.07.02","PROGRAM PERENCANAAN TENAGA KERJA",103448800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,"2.07.03","PROGRAM PELATIHAN KERJA DAN PRODUKTIVITAS TENAGA KERJA",27648937834,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526466,"2.07.04","PROGRAM PENEMPATAN TENAGA KERJA",6649859000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526473,"2.07.05","PROGRAM HUBUNGAN INDUSTRIAL",1132752690,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526475,"2.07.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",3326809246,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526477,"3.32.03","PROGRAM PEMBANGUNAN KAWASAN TRANSMIGRASI",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314502,2528871,"5.01.02","PROGRAM PERENCANAAN, PENGENDALIAN DAN EVALUASI PEMBANGUNAN DAERAH",2715626600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314502,2528872,"5.01.03","PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH",3455366700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314502,2528873,"5.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",7902239743,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",314502,2528874,"5.05.02","PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH",2386280200,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60457,2528971,"1.02.02","PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT",22568701951,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60457,2528973,"1.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",137150000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60460,2529564,"7.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",539321850,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60460,2529566,"7.01.02","PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK",273365300,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60460,2529568,"7.01.03","PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN",62915000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60460,2529569,"7.01.04","PROGRAM KOORDINASI KETENTRAMAN DAN KETERTIBAN UMUM",76187000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60460,2529574,"7.01.05","PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM",95550000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60460,2529575,"7.01.06","PROGRAM PEMBINAAN DAN PENGAWASAN PEMERINTAHAN DESA",49293000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60456,2529853,"1.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",195000000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152302,2530682,"5.02.04","PROGRAM PENGELOLAAN PENDAPATAN DAERAH",31168062058,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152302,2530708,"5.02.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",21899236632,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2531034,"1.03.08","PROGRAM PENATAAN BANGUNAN GEDUNG",122740948000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2531035,"1.03.09","PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA",900000000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96025,2534714,"2.11.01","PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",16651767800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535801,"1.03.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",57677122197,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535802,"1.03.02","PROGRAM PENGELOLAAN SUMBER DAYA AIR (SDA)",46521267641,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535803,"1.03.03","PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM",46681344747,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535804,"1.03.04","PROGRAM PENGEMBANGAN SISTEM DAN PENGELOLAAN PERSAMPAHAN REGIONAL",6593152000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535805,"1.03.05","PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM AIR LIMBAH",33163750856,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535806,"1.03.06","PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM DRAINASE",56691295434,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535807,"1.03.10","PROGRAM PENYELENGGARAAN JALAN",276422063233,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535808,"1.03.11","PROGRAM PENGEMBANGAN JASA KONSTRUKSI",1217482000,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,2535809,"1.03.12","PROGRAM PENYELENGGARAAN PENATAAN RUANG",4132071900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2535991,"2.18.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",18835864414,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2535994,"2.18.02","PROGRAM PENGEMBANGAN IKLIM PENANAMAN MODAL",1079803072,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2535998,"2.18.03","PROGRAM PROMOSI PENANAMAN MODAL",443753040,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2536000,"2.18.04","PROGRAM PELAYANAN PENANAMAN MODAL",224209649,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2536002,"2.18.05","PROGRAM PENGENDALIAN PELAKSANAAN PENANAMAN MODAL",381093209,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96027,2536005,"2.18.06","PROGRAM PENGELOLAAN DATA DAN SISTEM INFORMASI PENANAMAN MODAL",42355162,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",361176,2536996,"2.16.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",1043444184,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60442,2540099,"4.01.01","PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA",55154130695,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60442,2540100,"4.01.02","PROGRAM PEMERINTAHAN DAN KESEJAHTERAAN RAKYAT",49223996108,0,false,"2025-10-10"
