tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_satker_str,nama_satker,kd_rup,detail_lokasi,kd_kab_kota,kab_kota,kd_provinsi,provinsi,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",314502,"5.01.5.05.0.00.26.0000","BADAN PERENCANAAN PEMBANGUNAN, RISET DAN INOVASI DAERAH",54230007,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60495,"7.01.0.00.0.00.26.0000","KECAMATAN PASIRJAMBU",54230087,"kecamatan pasirjambu",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60495,"7.01.0.00.0.00.26.0000","KECAMATAN PASIRJAMBU",54230088,"kecamatan pasirjambu",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60495,"7.01.0.00.0.00.26.0000","KECAMATAN PASIRJAMBU",54230089,"kecamatan pasirjambu",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60495,"7.01.0.00.0.00.26.0000","KECAMATAN PASIRJAMBU",54230090,"Kantor Kecamatan Pasirjambu, Jl. Lapang Jenderal No. 100 ",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",60495,"7.01.0.00.0.00.26.0000","KECAMATAN PASIRJAMBU",54230091,"kecamatan pasirjambu",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,"1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",56678511,"Desa Nanjung Mekar Kecamatan Rancaekek  Perumahan Griya Permata Raya",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",96020,"1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",56678630,"Kabupaten Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,"1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",56678655,"Desa Waluya Kecamatan Cicalengka Kp Kebon Kapas RW 17",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152342,"1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",56678801,"Desa Margaasih Kecamatan Cicalengka Kp Ciseureuh Girang Rw 09",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
