tahun_anggaran,kd_klpd,kd_satker,kd_satker_str,kd_lpse,kd_tender,kd_tahapan,nama_tahapan,kd_akt,nama_akt,tgl_awal,tgl_akhir,_event_date
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18778,"Download dokumen prakualifikasi",173,,"2024-12-27 09:00:00","2025-01-06 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18808,"Pengumuman prakualifikasi",172,,"2024-12-27 09:00:00","2025-01-06 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18832,"Penjelasan Dokumen Prakualifikasi",174,,"2024-12-31 09:00:00","2024-12-31 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18827,"Upload dokumen prakualifikasi",175,,"2024-12-31 13:00:00","2025-01-06 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18779,"Evaluasi dokumen kualifikasi dan pembuktian kualifikasi",176,,"2025-01-06 09:01:00","2025-01-21 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18802,"Pembuktian kualifikasi",177,,"2025-01-21 08:00:00","2025-01-21 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18830,"Penetapan Hasil Kualifikasi",178,,"2025-01-21 16:01:00","2025-01-21 17:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18811,"Penjelasan",179,,"2025-01-21 17:01:00","2025-01-22 07:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18791,"Masa sanggah prakualifikasi",180,,"2025-01-22 08:00:00","2025-01-27 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18776,,181,,"2025-01-27 09:01:00","2025-02-03 08:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18812,"Penjelasan dokumen lelang",182,,"2025-01-30 09:00:00","2025-01-30 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18833,"Upload Dokumen Penawaran",183,,"2025-01-30 13:00:00","2025-02-03 08:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18795,"Pembukaan dan evaluasi penawaran file I",184,,"2025-02-03 09:00:00","2025-02-12 14:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18793,"Pemberitahuan/pengumuman peringkat teknis",186,,"2025-02-12 14:01:00","2025-02-12 15:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18796,"Pembukaan dan evaluasi penawaran file II",187,,"2025-02-12 15:01:00","2025-02-24 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18804,"Penetapan pemenang",188,,"2025-02-24 16:01:00","2025-02-24 17:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18810,"Pengumuman pemenang",189,,"2025-02-24 17:01:00","2025-02-25 07:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18789,"Masa Sanggah Hasil Lelang",190,,"2025-02-25 08:00:00","2025-03-03 08:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18784,"Klarifikasi dan negosiasi teknis dan biaya",191,,"2025-03-04 08:00:00","2025-04-04 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18817,"Surat penunjukan penyedia barang/jasa",193,,"2025-03-05 08:00:00","2025-03-10 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002510000,18803,"Penandatanganan  kontrak",194,,"2025-03-11 08:00:00","2025-03-19 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18778,"Download dokumen prakualifikasi",173,,"2024-12-27 09:00:00","2025-01-06 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18808,"Pengumuman prakualifikasi",172,,"2024-12-27 09:00:00","2025-01-06 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18832,"Penjelasan Dokumen Prakualifikasi",174,,"2024-12-31 09:00:00","2024-12-31 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18827,"Upload dokumen prakualifikasi",175,,"2024-12-31 13:00:00","2025-01-06 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18779,"Evaluasi dokumen kualifikasi dan pembuktian kualifikasi",176,,"2025-01-06 09:01:00","2025-01-21 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18802,"Pembuktian kualifikasi",177,,"2025-01-21 08:00:00","2025-01-21 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18830,"Penetapan Hasil Kualifikasi",178,,"2025-01-21 16:01:00","2025-01-21 17:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18811,"Penjelasan",179,,"2025-01-21 17:01:00","2025-01-22 07:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18791,"Masa sanggah prakualifikasi",180,,"2025-01-22 08:00:00","2025-01-27 09:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18776,,181,,"2025-01-27 09:01:00","2025-02-03 08:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18812,"Penjelasan dokumen lelang",182,,"2025-01-30 09:00:00","2025-01-30 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18833,"Upload Dokumen Penawaran",183,,"2025-01-30 13:00:00","2025-02-03 08:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18795,"Pembukaan dan evaluasi penawaran file I",184,,"2025-02-03 09:00:00","2025-02-12 14:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18793,"Pemberitahuan/pengumuman peringkat teknis",186,,"2025-02-12 14:01:00","2025-02-12 15:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18796,"Pembukaan dan evaluasi penawaran file II",187,,"2025-02-12 15:01:00","2025-02-24 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18804,"Penetapan pemenang",188,,"2025-02-24 16:01:00","2025-02-24 17:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18810,"Pengumuman pemenang",189,,"2025-02-24 17:01:00","2025-02-25 07:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18789,"Masa Sanggah Hasil Lelang",190,,"2025-02-25 08:00:00","2025-03-03 08:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18784,"Klarifikasi dan negosiasi teknis dan biaya",191,,"2025-03-04 08:00:00","2025-04-04 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18817,"Surat penunjukan penyedia barang/jasa",193,,"2025-03-05 08:00:00","2025-03-10 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002512000,18803,"Penandatanganan  kontrak",194,,"2025-03-11 08:00:00","2025-03-19 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18808,"Pengumuman prakualifikasi",172,,"2025-01-16 16:00:00","2025-01-24 08:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18778,"Download dokumen prakualifikasi",173,,"2025-01-16 16:01:00","2025-01-27 08:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18832,"Penjelasan Dokumen Prakualifikasi",174,,"2025-01-20 09:00:00","2025-01-20 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18827,"Upload dokumen prakualifikasi",175,,"2025-01-20 10:01:00","2025-02-07 17:30:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18779,"Evaluasi dokumen kualifikasi dan pembuktian kualifikasi",176,,"2025-02-07 17:31:00","2025-02-14 23:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18802,"Pembuktian kualifikasi",177,,"2025-02-12 08:00:00","2025-02-14 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18830,"Penetapan Hasil Kualifikasi",178,,"2025-02-14 15:01:00","2025-02-14 16:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18811,"Penjelasan",179,,"2025-02-14 16:01:00","2025-02-15 07:59:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18791,"Masa sanggah prakualifikasi",180,,"2025-02-15 08:00:00","2025-02-20 08:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18776,,181,,"2025-02-20 08:01:00","2025-02-27 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18812,"Penjelasan dokumen lelang",182,,"2025-02-24 09:00:00","2025-02-24 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18833,"Upload Dokumen Penawaran",183,,"2025-02-24 13:00:00","2025-02-27 10:00:00","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10002513000,18795,"Pembukaan dan evaluasi penawaran file I",184,,"2025-02-27 10:01:00","2025-03-06 15:00:00","2025-10-10"
