tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,nama_satker,kd_lpse,kd_tender,kd_paket,kd_rup_paket,pagu,hps,nilai_penawaran,nilai_terkoreksi,nilai_negosiasi,nilai_kontrak,tgl_pengumuman_tender,tgl_penetapan_pemenang,kd_penyedia,nama_penyedia,npwp_penyedia,npwp_16_penyedia,nilai_pdn_kontrak,nilai_umk_kontrak,_event_date
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10074302000,10071487000,"58222479",1400000000,1399818654.61,1338775028,1338775028,1336777027.98,1336777027.98,"2025-08-29","2025-09-12",862672,"CV. MANDIRI PUTRA WIJAYA","43.382.649.2-442.000","0433826492442000",1336777027.98,1336777027.98,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10072623000,10069935000,"59775581",800000000,799977000,751692000,751692000,751692000,751692000,"2025-08-28","2025-10-07",8602014,"PT.SELARAS MULTIARSI KONSULTAN","31.166.873.5-429.000","0311668735429000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10059789000,10057956000,"59303909",1199999999,1199548288,1031967333,1031967333,1031967333,1031967333,"2025-08-08","2025-08-20",142093,"CV.AGRO GEMILANG","31.672.234.7-445.000","0316722347445000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10011868000,10011637000,"55965678",1000000000,999995334.78,921803940,921803940,921692940,921692940,"2025-02-11","2025-04-09",23954014,"PT. ALMA REKA GRAHA","01.767.782.4-429.000","0017677824429000",921692940,921692940,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0000","DINAS KESEHATAN",93,10029555000,10028863000,"54397694",564030000,563436994,539469579.67,539469579.67,539469579.67,539469000,"2025-07-10","2025-07-23",5214014,"CV. PUSPITA MANDIRI","02.736.396.9-445.000","0027363969445000",539469000,539469000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10087655000,10083732000,"60477003",1600000000,1599944905.9,null,null,null,null,"2025-10-06","2025-10-22",0,,,,null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0000","DINAS KESEHATAN",93,10066680000,10028866000,"54398245",658035000,657447791,571980579.09,571980579.09,571980579.09,571980579.09,"2025-08-01","2025-08-13",287763009,"saviya dua bungsu","99.349.339.4-425.000","0993493394425000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10047830000,10046515000,"59775621",600000000,599955000,563991000,563991000,563658000,563658000,"2025-07-03","2025-08-12",26121014,"PT. PANCA PILAR KARYA UTAMA","81.496.519.0-429.000","0814965190429000",563658000,563658000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10086396000,10070722000,"60265381",584375000,584339000,null,null,null,null,"2025-10-01","2025-10-14",0,,,,null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10005990000,10005882000,"53820221",5700000000,5699522121.27,5388544612.88,5388544612.88,5380803707.15,5380803707.15,"2025-03-10","2025-04-09",12593047,"CV. RK UTAMA","82.071.033.3-425.000","0820710333425000",5380803707.15,5380803707.15,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10010282000,10010076000,"55081324",400000000,399988500,359973000,359973000,359307000,359307000,"2025-01-24","2025-03-19",41943011,"PT Prisma Karya Utama","43.377.819.8-422.000","0433778198422000",359307000,359307000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10055925000,10054335000,"59930026",600000000,599998000,544122000,544122000,542790000,542790000,"2025-07-16","2025-08-15",22141014,"PT. PADURAKSA KONSULTAN","02.390.537.5-429.000","0023905375429000",542790000,542790000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","3.27.0.00.0.00.22.0000","DINAS PERTANIAN",93,10043862000,10042653000,"57892072",622000000,621994749,497595799.2,497595799.2,497595799.21,497595799.21,"2025-07-18","2025-08-01",5214014,"CV. PUSPITA MANDIRI","02.736.396.9-445.000","0027363969445000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10056826000,10055175000,"56638720",1465000000,1464997847.79,1390000000,1390000000,1390000000,1390000000,"2025-07-15","2025-07-25",196003009,"PT. GANESHA BANGUN KIRANA","40.821.465.8-445.000","0408214658445000",1390000000,1390000000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10035029000,10034169000,"59146103",15800000000,15799973356.71,14991125475.06,14991125475.06,14985894600.06,14985894600.06,"2025-06-20","2025-07-08",28108014,"PT GIE PUTRA BERDIKARI","82.385.090.4-429.000","0823850904429000",14985894600.06,14985894600.06,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10033974000,10033141000,"58045047",4900000000,4885563467.7,4621122858.11,4621122858.11,4615572858.12,4615572858.12,"2025-05-28","2025-06-19",4348066,"CV. SINAR AGAM LESTARI","92.100.192.1-416.000","0921001921416000",4615572858.12,4615572858.12,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10055923000,10054333000,"59930054",600000000,599998000,575733690,575733690,575178690,575178000,"2025-07-16","2025-08-19",20124014,"Martha Tria Selaras","31.524.991.2-429.000","0315249912429000",575178000,575178000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10010686000,10010472000,"55131714",632000000,631978500,590964000,590964000,590298000,590298000,"2025-01-24","2025-03-20",26121014,"PT. PANCA PILAR KARYA UTAMA","81.496.519.0-429.000","0814965190429000",590298000,590298000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10012479000,10012224000,"55965433",600000000,599838495.25,557725050,557725050,557392050,557392050,"2025-02-11","2025-04-09",383126,"PT. Inasa Sakha Kirana","02.333.122.6-441.000","0023331226441000",557392050,557392050,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.01.0.00.0.00.01.0000","DINAS PENDIDIKAN",93,10017932000,10017532000,"56168859;56168861;56168878",1431703950,1418949369.99,1275000000,1275000000,1275000000,1275000000,"2025-03-20","2025-04-17",26126014,"CV. Benaya Cemerlang Abadi","75.058.114.2-445.000","0750581142445000",1275000000,1275000000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10010213000,10010007000,"55133181",648000000,647995800,592185000,592185000,591519000,591519000,"2025-01-24","2025-03-20",600440,"PT. MARGA BHUANA JAYA","66.463.359.1-429.000","0664633591429000",591519000,591519000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10082499000,10078994000,"58187884",1400000000,1399863288,null,null,null,null,"2025-09-30","2025-10-23",0,,,,null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0000","DINAS KESEHATAN",93,10029559000,10028867000,"54397828",827244000,826492794,718435734,718435734,718435734,718435734,"2025-07-09","2025-07-24",165093,"CV. ARTHA JAYA","66.586.482.3-445.000","0665864823445000",718435734,718435734,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0000","DINAS KESEHATAN",93,10029546000,10028858000,"54431013",507627000,506769629,432123000,432123000,432123000,432123000,"2025-06-19","2025-07-03",4861014,"athira jaya abadi","02.333.140.8-429.000","0023331408429000",432123000,432123000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0066","RUMAH SAKIT UMUM DAERAH CICALENGKA",93,10018179000,10017772000,"58007009",1200000000,1163060500,1070151000,1070151000,1070151000,1070151000,"2025-03-21","2025-04-17",292093,"Cv. Aarshiya","74.937.839.4-445.000","0749378394445000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","4.02.0.00.0.00.25.0000","SEKRETARIAT DPRD",93,10017691000,10017293000,"57880833",200000000,196636500,180907800,180907800,179659050,179659050,"2025-03-21","2025-05-09",600440,"PT. MARGA BHUANA JAYA","66.463.359.1-429.000","0664633591429000",179659050,179659050,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10040803000,10039734000,"58047921",3000000000,2999870998.4,2819928000,2819928000,2819928000,2819928000,"2025-06-12","2025-07-01",196003009,"PT. GANESHA BANGUN KIRANA","40.821.465.8-445.000","0408214658445000",2819928000,2819928000,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0067","RUMAH SAKIT UMUM DAERAH KELAS B MAJALAYA",93,10040319000,10029473000,"58487508",900008000,900007023.68,854796934.68,854796934.68,854796934.68,854796934.68,"2025-06-02","2025-06-20",12593047,"CV. RK UTAMA","82.071.033.3-425.000","0820710333425000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10080828000,10077455000,"60475602",418828800,418827800,335062240,335062240,335062240,335062240,"2025-09-22","2025-10-07",6255014,"CV. FAJAR JAYA","02.161.484.7-445.000","0021614847445000",null,null,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10005991000,10005883000,"53613689",7000000000,6999647646.16,6541631392.03,6541631392.03,6528354560.19,6528354560.19,"2025-02-17","2025-03-07",395332,"CV. SELOVENA","76.161.895.8-425.000","0761618958425000",6528354560.19,6528354560.19,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.03.2.15.1.04.03.0000","DINAS PEKERJAAN UMUM DAN TATA RUANG",93,10036453000,10035543000,"57036953",500000000,499997826.6,412498218.37,412498218.37,412498218.37,412498218.37,"2025-06-10","2025-06-25",24055014,"CV. SINAR BUDHI PRATAMA","72.851.234.4-444.000","0728512344444000",412498218.37,412498218.37,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN","1.02.0.00.0.00.02.0000","DINAS KESEHATAN",93,10029557000,10028865000,"54398020",658035000,643258568,578926901.06,578926901.06,578926901.06,578926000,"2025-07-10","2025-07-28",3965127,"CV. NURANI CIPTA MANDIRI","03.098.634.3-027.000","0030986343027000",578926000,578926000,"2025-10-10"
