tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_program,kd_kegiatan,kd_subkegiatan,kd_subkegiatan_str,nama_subkegiatan,pagu_subkegiatan,kd_subkegiatan_lokal,is_deleted,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526449,12963348,14500665,"2.07.02.2.01.0001","Penyusunan Rencana Tenaga Kerja Makro",12414700,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526449,12963348,14500666,"2.07.02.2.01.0003","Fasilitasi Penyusunan Rencana Tenaga Kerja Mikro",91034100,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963352,14500672,"2.07.03.2.01.0001","Proses Pelaksanaan Pendidikan dan Pelatihan Keterampilan bagi Pencari Kerja berdasarkan Klaster Kompetensi",16894218900,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963352,14500673,"2.07.03.2.01.0002","Koordinasi Lintas Lembaga dan Kerja Sama dengan Sektor Swasta untuk Penyediaan Instruktur serta Sarana dan Prasarana Lembaga Pelatihan Kerja",10153579651,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963352,14500677,"2.07.03.2.01.0004","Proses Pelaksanaan Pendidikan dan Pelatihan Vokasi bagi Pencari Kerja berdasarkan Unit Kompetensi",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963352,14500678,"2.07.03.2.01.0006","Koordinasi Lintas Lembaga dan Kerja Sama Dengan Sektor Swasta untuk Penyediaan Instruktur serta Sarana dan Prasarana Lembaga Pelatihan Vokasi dan Produktivitas",543548683,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963365,14500714,"2.07.03.2.02.0001","Pembinaan Lembaga Pelatihan Kerja Swasta",0,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526451,12963369,14500716,"2.07.03.2.05.0001","Pengukuran Kompetensi dan Produktivitas Tenaga Kerja",57590600,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526466,12963379,14500743,"2.07.04.2.01.0002","Pelayanan antar Kerja",1275182800,0,false,"2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152339,2526466,12963379,14500744,"2.07.04.2.01.0003","Penyuluhan dan Bimbingan Jabatan bagi Pencari Kerja",21542800,0,false,"2025-10-10"
