tahun_anggaran,kd_klpd,nama_klpd,jenis_klpd,kd_satker,kd_satker_str,nama_satker,kd_rup,detail_lokasi,kd_kab_kota,kab_kota,kd_provinsi,provinsi,_event_date
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104721,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104722,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104723,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104725,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104726,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104778,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104779,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104781,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104782,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152353,"6.01.0.00.0.00.30.0000","INSPEKTORAT DAERAH",39104784,"Soreang",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
2025,"D107","Kab. Bandung","KABUPATEN",152334,"5.02.0.00.0.00.27.0000","BADAN KEUANGAN DAN ASET DAERAH",39105073,"Komp. Pemda Kab. Bandung Jl. Raya Soreang Km. 17 Soreang Kabupaten Bandung",14773,"Bandung (Kab.)",12,"Jawa Barat","2025-10-10"
