tahun_anggaran,kd_klpd,kd_satker,kd_satker_str,kd_lpse,kd_nontender,kd_tahapan,nama_tahapan,kd_akt,nama_akt,tgl_awal,tgl_akhir,_event_date
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033341000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-27T11:00:00.000000Z","2024-12-30T15:00:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033341000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-30T15:01:00.000000Z","2024-12-30T15:05:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033341000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-30T15:06:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033341000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T08:00:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033341000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-10T08:00:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033391000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-27T11:00:00.000000Z","2024-12-30T15:00:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033391000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-30T15:01:00.000000Z","2024-12-30T15:05:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033391000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-30T15:06:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033391000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T08:00:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10033391000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-10T08:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033424000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-30T20:00:00.000000Z","2024-12-31T12:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033424000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-31T12:01:00.000000Z","2024-12-31T12:02:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033424000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-31T12:03:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033424000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T13:00:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033424000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-15T16:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033430000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-30T20:00:00.000000Z","2024-12-31T12:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033430000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-31T12:01:00.000000Z","2024-12-31T12:02:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033430000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-31T12:03:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033430000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T13:00:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033430000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-15T16:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033436000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-30T20:00:00.000000Z","2024-12-31T12:00:00.000000Z","2025-10-10"
