tahun_anggaran,kd_klpd,kd_satker,kd_satker_str,kd_lpse,kd_tender,kd_pkt_dce,kd_peserta,kd_penyedia,nama_penyedia,npwp_penyedia,npwp_penyedia_16,nilai_penawaran,nilai_terkoreksi,pemenang,pemenang_terverifikasi,alasan
2025,"D107","102093","1.02.0.00.0.00.02.0067",93,10030175000,10029472000,10385692000,165093,"CV. ARTHA JAYA","66.586.482.3-445.000","0665864823445000",0,0,0,0,
2025,"D107","102093","1.02.0.00.0.00.02.0067",93,10030176000,10029473000,10402438000,5997014,"CV. INDRA NUGRAHA","01.671.196.2-421.000","0016711962421000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029546000,10028858000,10559816000,601432,"CV PRAWIRA","74.328.697.3-446.000","0743286973446000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029559000,10028867000,10693370000,1284130,"CV. Tupa Jaya Tama","96.124.684.0-009.000","0961246840009000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029557000,10028865000,10705005000,363159009,"CV.PUSAKA ARUM JAYA","60.839.743.6-444.000","0608397436444000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029558000,10028866000,10710708000,366906009,"PT RAJAWALI CITRA KONSTRUKSI INC","28.991.579.5-444.000","0289915795444000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029557000,10028865000,10702971000,2805014,"CV. MALAKA PUTRA","02.161.595.0-445.000","0021615950445000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029558000,10028866000,10707327000,7580014,"CV. DAHLIA","02.203.868.1-429.000","0022038681429000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029544000,10028856000,10581639000,142093,"CV.AGRO GEMILANG","31.672.234.7-445.000","0316722347445000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029556000,10028864000,10725429000,28978009,"CV. ARDHANA CAHAYA TOP","43.541.106.1-422.000","0435411061422000",0,0,0,0,
2025,"D107","11293093","1.02.0.00.0.00.02.0000",93,10029545000,10028857000,10555677000,75741009,"NATAPRAWIRA JAYA PERKASA","62.828.913.4-422.000","0628289134422000",0,0,0,0,
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10040803000,10039734000,10521673000,9389,"PT. INDIKON","73.223.983.5-429.000","0732239835429000",0,0,0,0,
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10044202000,10035970000,10567503000,2238035,"CV. ARCHIVIL ENGINEERING","03.034.202.6-722.000","0030342026722000",0,0,0,0,
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10010686000,10010472000,10117998000,20234014,"CV. Midifa Adidaya","03.172.590.6-444.000","0031725906444000",0,0,0,0,
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10007633000,10002438000,10078339000,2932260,"PT. PRIANGAN RAYA UTAMA","31.357.528.4-423.000","0313575284423000",0,0,0,0,
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10007632000,10005859000,10077905000,345318,"PT. SIES KONSULTAMA","31.726.587.4-401.000","0317265874401000",0,0,0,0,
