kd_kabupaten,kd_provinsi,nama_kabupaten
13,1,"Kota Banda Aceh"
14,1,"Kota Lhokseumawe"
15,1,"Kabupaten Aceh Utara"
16,1,"Kabupaten Aceh Barat"
17,1,"Kabupaten Aceh Tengah"
18,1,"Kota Sabang"
19,1,"Kabupaten Aceh Besar"
20,1,"Kabupaten Aceh Jaya"
21,1,"Kabupaten Bireuen"
22,1,"Kabupaten Nagan Raya"
23,1,"Kabupaten Pidie"
24,1,"Kabupaten Pidie Jaya"
25,1,"Kota Langsa"
26,1,"Kabupaten Simeulue"
27,1,"Kabupaten Aceh Barat Daya"
28,1,"Kabupaten Aceh Singkil"
29,1,"Kabupaten Aceh Tamiang"
30,1,"Kabupaten Gayo Lues"
31,1,"Kota Subulussalam"
32,1,"Kabupaten Bener Meriah"
33,1,"Kabupaten Aceh Selatan"
34,1,"Kabupaten Aceh Tenggara"
35,1,"Kabupaten Aceh Timur"
37,2,"Kabupaten Labuhan Batu"
38,2,"Kabupaten Tapanuli Utara"
39,2,"Kota Tanjung Balai"
40,2,"Kota Medan"
41,2,"Kabupaten Asahan"
42,2,"Kabupaten Batubara"
43,2,"Kabupaten Dairi"
44,2,"Kabupaten Deli Serdang"
45,2,"Kabupaten Humbang Hasundutan"
46,2,"Kabupaten Labuhan Batu Selatan"
47,2,"Kabupaten Mandailing Natal"
48,2,"Kabupaten Nias Selatan"
49,2,"Kabupaten Padang Lawas"
50,2,"Kabupaten Pakpak Bharat"
51,2,"Kabupaten Samosir"
52,2,"Kota Padang Sidempuan"
53,2,"Kota Pematangsiantar"
54,2,"Kota Tebing Tinggi"
55,2,"Kota Binjai"
56,2,"Kabupaten Serdang Bedagai"
57,2,"Kabupaten Langkat"
58,2,"Kabupaten Toba Samosir"
59,2,"Kabupaten Karo"
60,2,"Kabupaten Simalungun"
61,2,"Kabupaten Nias Barat"
62,2,"Kabupaten Tapanuli Tengah"
63,2,"Kabupaten Labuhan Batu Utara"
64,2,"Kota Gunungsitoli"
65,2,"Kabupaten Nias"
66,2,"Kabupaten Nias Utara"
67,2,"Kabupaten Tapanuli Selatan"
68,2,"Kabupaten Padang Lawas Utara"
69,2,"Kota Sibolga"
71,3,"Kabupaten Sijunjung"
72,3,"Kabupaten Pesisir Selatan"
73,3,"Kabupaten Tanah Datar"
74,3,"Kabupaten Dharmasraya"
75,3,"Kabupaten Pasaman"
76,3,"Kota Sawahlunto"
77,3,"Kota Padang Panjang"
78,3,"Kota Payakumbuh"
79,3,"Kota Padang"
80,3,"Kabupaten Agam"
81,3,"Kabupaten Padang Pariaman"
82,3,"Kota Solok"
83,3,"Kabupaten Solok"
84,3,"Kabupaten Lima Puluh Kota"
85,3,"Kabupaten Pasaman Barat"
86,3,"Kabupaten Solok Selatan"
87,3,"Kota Bukittinggi"
88,3,"Kota Pariaman"
89,3,"Kabupaten Kepulauan Mentawai"
91,4,"Kabupaten Bangka"
92,4,"Kabupaten Bangka Tengah"
93,4,"Kota Pangkal Pinang"
