kd_provinsi,nama_provinsi
1,"NAD"
2,"Sumatera Utara"
3,"Sumatera Barat"
4,"Bangka Belitung"
5,"Riau"
6,"Kepulauan Riau"
7,"Jambi"
8,"Sumatera Selatan"
9,"Bengkulu"
10,"Lampung"
11,"Banten"
12,"Jawa Barat"
13,"DKI Jakarta"
14,"Jawa Tengah"
15,"Jawa Timur"
16,"DI Yogyakarta"
17,"Bali"
18,"NTB"
19,"Kalimantan Selatan"
20,"Kalimantan Barat"
21,"Kalimantan Tengah"
22,"Kalimantan Timur"
23,"Sulawesi Selatan"
24,"Sulawesi Barat"
25,"Sulawesi Tenggara"
26,"Sulawesi Tengah"
27,"Sulawesi Utara"
28,"Gorontalo"
29,"Nusa Tenggara Timur"
30,"Maluku"
31,"Maluku Utara"
32,"Papua"
33,"Papua Barat"
34,"Kalimantan Utara"
36,"Papua Tengah"
37,"Papua Pegunungan"
38,"Papua Barat Daya"
39,"Papua Selatan"
