kd_provinsi,kd_kabkota,nama_kabkota
1,14632,"Aceh Barat Daya (Kab.)"
1,14649,"Aceh Barat (Kab.)"
1,14647,"Aceh Besar (Kab.)"
1,14630,"Aceh Jaya (Kab.)"
1,14642,"Aceh Selatan (Kab.)"
1,14644,"Aceh Singkil (Kab.)"
1,14631,"Aceh Tamiang (Kab.)"
1,14648,"Aceh Tengah (Kab.)"
1,14640,"Aceh Tenggara (Kab.)"
1,14641,"Aceh Timur (Kab.)"
1,14639,"Aceh Utara (Kab.)"
1,14638,"Banda Aceh (Kota)"
1,14637,"Bener Meriah (Kab.)"
1,14646,"Bireuen (Kab.)"
1,14633,"Gayo Lues (Kab.)"
1,14634,"Langsa (Kota)"
1,14635,"Lhokseumawe (Kota)"
1,14629,"Nagan Raya (Kab.)"
1,16000,"Pidie Jaya (Kab.)"
1,14645,"Pidie (Kab.)"
1,14636,"Sabang (Kota)"
1,14643,"Simeulue (Kab.)"
1,16001,"Subulussalam (Kota)"
2,14652,"Asahan (Kab.)"
2,16050,"Batubara (Kab.)"
2,14663,"Binjai (Kota)"
2,14669,"Dairi (Kab.)"
2,14667,"Deli Serdang (Kab.)"
2,16060,"Gunung Sitoli (Kota)"
2,14674,"Humbang Hasundutan (Kab.)"
2,14670,"Karo (Kab.)"
2,14653,"Labuhan Batu (Kab.)"
2,16051,"Labuhan Batu Selatan (Kab.)"
2,16053,"Labuhan Batu Utara (Kab.)"
2,14668,"Langkat (Kab.)"
2,14654,"Mandailing Natal (Kab.)"
2,14666,"Medan (Kota)"
2,16059,"Nias Barat (Kab.)"
2,14655,"Nias (Kab.)"
2,14673,"Nias Selatan (Kab.)"
2,16054,"Nias Utara (Kab.)"
2,16052,"Padang Lawas (Kab.)"
2,16055,"Padang Lawas Utara (Kab.)"
2,14664,"Padang Sidempuan (Kota)"
2,14671,"Pakpak Bharat (Kab.)"
2,14660,"Pematang Siantar (Kota)"
2,14672,"Samosir (Kab.)"
2,14661,"Serdang Bedagai (Kab.)"
2,14662,"Sibolga (Kota)"
2,14658,"Simalungun (Kab.)"
2,14659,"Tanjung Balai (Kota)"
2,14657,"Tapanuli Selatan (Kab.)"
2,14656,"Tapanuli Tengah (Kab.)"
2,14651,"Tapanuli Utara (Kab.)"
2,14665,"Tebing Tinggi (Kota)"
2,14650,"Toba Samosir (Kab.)"
3,14693,"Agam (Kab.)"
3,14682,"Bukit Tinggi (Kota)"
3,14677,"Dharmas Raya (Kab.)"
3,14687,"Kepulauan Mentawai (Kab.)"
3,14690,"Lima Puluh Kota (Kab.)"
3,14675,"Padang (Kota)"
3,14679,"Padang Panjang (Kota)"
3,14692,"Padang Pariaman (Kab.)"
3,14680,"Pariaman (Kota)"
3,14678,"Pasaman Barat (Kab.)"
3,14691,"Pasaman (Kab.)"
3,14683,"Payakumbuh (Kota)"
3,14688,"Pesisir Selatan (Kab.)"
3,14686,"Sawahlunto"
3,14676,"Sawah Lunto (Kota)"
3,268938,"Sijunjung(Kab)"
3,14685,"Solok (Kab.)"
3,14681,"Solok (Kota)"
3,14684,"Solok Selatan (Kab.)"
3,14689,"Tanah Datar (Kab.)"
4,14698,"Bengkalis (Kab.)"
4,14696,"Dumai (Kota)"
4,14702,"Indragiri Hilir (Kab.)"
4,14704,"Indragiri Hulu (Kab.)"
4,14694,"Kampar (Kab.)"
4,14703,"Kuantan Singingi (Kab.)"
